time,altitude,grade_smooth,velocity_smooth,heartrate,distance
0,31.2,9.1,0.0,47,0.0
1,31.4,5.9,0.71,46,0.7
2,31.4,4.2,1.115,46,2.2
3,31.6,3.2,1.467,47,4.4
4,31.6,1.9,1.685,47,6.7
5,31.6,0.0,1.892,48,9.5
6,31.6,1.6,2.384,48,12.6
7,31.6,1.6,2.758,51,16.0
8,31.8,3.2,2.958,53,19.2
9,31.8,3.3,3.082,53,22.1
10,32.0,3.4,3.124,56,25.1
11,32.0,5.1,3.08,58,28.0
12,32.2,3.4,2.99,60,31.0
13,32.4,5.1,2.93,64,33.8
14,32.4,3.3,2.936,64,36.8
15,32.6,3.3,2.958,66,39.9
16,32.6,3.3,3.002,67,43.0
17,32.8,1.6,2.998,68,46.0
18,32.8,3.3,3.026,68,49.0
19,32.8,1.6,3.076,68,52.2
20,33.0,3.1,3.094,72,55.3
21,33.0,4.6,3.11,75,58.6
22,33.2,3.1,3.16,77,61.8
23,33.4,4.8,3.24,80,65.2
24,33.4,3.3,3.2,82,68.2
25,33.6,1.7,3.138,84,71.0
26,33.6,3.4,3.042,89,73.8
27,33.6,3.3,3.03,90,76.9
28,33.8,3.3,2.96,92,80.0
29,34.0,3.1,3.002,96,83.2
30,34.0,3.1,2.972,99,85.9
31,34.0,1.6,3.232,101,90.0
32,34.2,1.5,3.16,104,92.7
33,34.2,3.2,3.23,106,96.1
34,34.2,1.6,3.196,107,99.2
35,34.4,3.4,3.28,108,102.3
36,34.4,3.3,2.99,109,104.9
37,34.6,1.7,3.066,110,108.0
38,34.6,3.3,3.018,111,111.2
39,34.6,1.7,3.01,111,114.3
40,34.8,1.7,2.974,112,117.2
41,34.8,3.5,3.016,112,120.0
42,34.8,1.8,2.95,113,122.8
43,35.0,3.5,2.888,113,125.7
44,35.0,5.1,2.834,113,128.4
45,35.2,3.3,2.862,113,131.5
46,35.4,3.2,2.914,113,134.6
47,35.4,3.1,2.982,113,137.7
48,35.4,1.5,3.062,113,141.0
49,35.6,3.2,3.15,114,144.2
